Stimulus,TargetScore,features,Cluster,Time Period,Frequency,Estimator,SHAP_value
Control,Moved,"CL4_(0, 5)_theta",CL4,"(0, 5)",theta,LightGBM,-0.0010034133881174426
Control,Moved,"CL4_(5, 10)_alpha",CL4,"(5, 10)",alpha,LightGBM,-0.003834819696914762
Control,Moved,"CL4_(5, 10)_beta",CL4,"(5, 10)",beta,LightGBM,0.005455438774137291
Control,Moved,"CL4_(5, 10)_delta",CL4,"(5, 10)",delta,LightGBM,-0.0011313542562793625
Control,Moved,"CL4_(5, 10)_lower gamma",CL4,"(5, 10)",lower gamma,LightGBM,0.0021755931256357683
Control,Moved,"CL4_(5, 10)_theta",CL4,"(5, 10)",theta,LightGBM,0.002223016957734783
Control,Moved,"CL5_(-4, 0)_alpha",CL5,"(-4, 0)",alpha,LightGBM,-0.0002014789678110195
Control,Moved,"CL5_(-4, 0)_beta",CL5,"(-4, 0)",beta,LightGBM,2.679420495179872e-05
Control,Moved,"CL5_(-4, 0)_delta",CL5,"(-4, 0)",delta,LightGBM,0.004584157967241315
Control,Moved,"CL5_(-4, 0)_lower gamma",CL5,"(-4, 0)",lower gamma,LightGBM,0.0003773572006008032
Control,Moved,"CL5_(-4, 0)_theta",CL5,"(-4, 0)",theta,LightGBM,-1.276823357471645e-05
Control,Moved,"CL5_(0, 5)_alpha",CL5,"(0, 5)",alpha,LightGBM,0.012963647013439706
Control,Moved,"CL5_(0, 5)_beta",CL5,"(0, 5)",beta,LightGBM,-0.0005565511501712319
Control,Moved,"CL5_(0, 5)_delta",CL5,"(0, 5)",delta,LightGBM,0.0021827270287595527
Control,Moved,"CL5_(0, 5)_lower gamma",CL5,"(0, 5)",lower gamma,LightGBM,0.011909162568441682
Control,Moved,"CL5_(0, 5)_theta",CL5,"(0, 5)",theta,LightGBM,0.007589650085727214
Control,Moved,"CL5_(5, 10)_alpha",CL5,"(5, 10)",alpha,LightGBM,0.001702378608060928
Control,Moved,"CL5_(5, 10)_beta",CL5,"(5, 10)",beta,LightGBM,-0.0007103877050883376
Control,Moved,"CL5_(5, 10)_delta",CL5,"(5, 10)",delta,LightGBM,0.000807885268335565
Control,Moved,"CL5_(5, 10)_lower gamma",CL5,"(5, 10)",lower gamma,LightGBM,0.001635516006255827
Control,Moved,"CL5_(5, 10)_theta",CL5,"(5, 10)",theta,LightGBM,-0.00019404541319432346
Control,Moved,"CL6_(-4, 0)_alpha",CL6,"(-4, 0)",alpha,LightGBM,0.0008550185105457258
Control,Moved,"CL6_(-4, 0)_beta",CL6,"(-4, 0)",beta,LightGBM,-0.006058524684721828
Control,Moved,"CL6_(-4, 0)_delta",CL6,"(-4, 0)",delta,LightGBM,0.0017440703445361408
Control,Moved,"CL6_(-4, 0)_lower gamma",CL6,"(-4, 0)",lower gamma,LightGBM,-0.005315781256816093
Control,Moved,"CL6_(-4, 0)_theta",CL6,"(-4, 0)",theta,LightGBM,-0.0006426490160660151
Control,Moved,"CL6_(0, 5)_alpha",CL6,"(0, 5)",alpha,LightGBM,0.009519274444090616
Control,Moved,"CL6_(0, 5)_beta",CL6,"(0, 5)",beta,LightGBM,-0.0005419072965888628
Control,Moved,"CL6_(0, 5)_delta",CL6,"(0, 5)",delta,LightGBM,-0.0006997246828747664
Control,Moved,"CL6_(0, 5)_lower gamma",CL6,"(0, 5)",lower gamma,LightGBM,0.01657623557210616
Control,Moved,"CL6_(0, 5)_theta",CL6,"(0, 5)",theta,LightGBM,-0.000552837252725676
Control,Moved,"CL6_(5, 10)_alpha",CL6,"(5, 10)",alpha,LightGBM,0.014912169704359657
Control,Moved,"CL6_(5, 10)_beta",CL6,"(5, 10)",beta,LightGBM,-0.020529644767803223
Control,Moved,"CL6_(5, 10)_delta",CL6,"(5, 10)",delta,LightGBM,0.016700057891184793
Control,Moved,"CL6_(5, 10)_lower gamma",CL6,"(5, 10)",lower gamma,LightGBM,0.009324583571581424
Control,Moved,"CL6_(5, 10)_theta",CL6,"(5, 10)",theta,LightGBM,0.000577015400861285
Control,Originality,"CL1_(-4, 0)_alpha",CL1,"(-4, 0)",alpha,LightGBM,0.00047937017244331685
Control,Originality,"CL1_(-4, 0)_beta",CL1,"(-4, 0)",beta,LightGBM,0.0
Control,Originality,"CL1_(-4, 0)_delta",CL1,"(-4, 0)",delta,LightGBM,0.001618728976379741
Control,Originality,"CL1_(-4, 0)_lower gamma",CL1,"(-4, 0)",lower gamma,LightGBM,-0.000848317402698804
Control,Originality,"CL1_(-4, 0)_theta",CL1,"(-4, 0)",theta,LightGBM,0.0028248948017354004
Control,Originality,"CL1_(0, 5)_alpha",CL1,"(0, 5)",alpha,LightGBM,0.0005221113605073834
Control,Originality,"CL1_(0, 5)_beta",CL1,"(0, 5)",beta,LightGBM,-0.0013080236077761818
Control,Originality,"CL1_(0, 5)_delta",CL1,"(0, 5)",delta,LightGBM,-1.7124616600762842e-06
Control,Originality,"CL1_(0, 5)_lower gamma",CL1,"(0, 5)",lower gamma,LightGBM,5.237747846231891e-05
Control,Originality,"CL1_(0, 5)_theta",CL1,"(0, 5)",theta,LightGBM,0.00034214670245758243
Control,Originality,"CL1_(5, 10)_alpha",CL1,"(5, 10)",alpha,LightGBM,0.0
Control,Originality,"CL1_(5, 10)_beta",CL1,"(5, 10)",beta,LightGBM,7.295862924745329e-06
Control,Originality,"CL1_(5, 10)_delta",CL1,"(5, 10)",delta,LightGBM,-1.726161813214427e-06
Control,Originality,"CL1_(5, 10)_lower gamma",CL1,"(5, 10)",lower gamma,LightGBM,0.00014526098355724645
Control,Originality,"CL1_(5, 10)_theta",CL1,"(5, 10)",theta,LightGBM,0.0
Control,Originality,"CL2_(-4, 0)_alpha",CL2,"(-4, 0)",alpha,LightGBM,0.0008076347422188581
Control,Originality,"CL2_(-4, 0)_beta",CL2,"(-4, 0)",beta,LightGBM,0.0
Control,Originality,"CL2_(-4, 0)_delta",CL2,"(-4, 0)",delta,LightGBM,2.988378806633304e-06
Control,Originality,"CL2_(-4, 0)_lower gamma",CL2,"(-4, 0)",lower gamma,LightGBM,0.011107921911617864
Control,Originality,"CL2_(-4, 0)_theta",CL2,"(-4, 0)",theta,LightGBM,2.8540830178956345e-05
Control,Originality,"CL2_(0, 5)_alpha",CL2,"(0, 5)",alpha,LightGBM,0.0
Control,Originality,"CL2_(0, 5)_beta",CL2,"(0, 5)",beta,LightGBM,-0.01793735337954349
Control,Originality,"CL2_(0, 5)_delta",CL2,"(0, 5)",delta,LightGBM,0.0
Control,Originality,"CL2_(0, 5)_lower gamma",CL2,"(0, 5)",lower gamma,LightGBM,-0.001213258373008422
Control,Originality,"CL2_(0, 5)_theta",CL2,"(0, 5)",theta,LightGBM,0.001463027274287029
Control,Originality,"CL2_(5, 10)_alpha",CL2,"(5, 10)",alpha,LightGBM,6.054168119581265e-05
Control,Originality,"CL2_(5, 10)_beta",CL2,"(5, 10)",beta,LightGBM,-8.018129647237093e-05
Control,Originality,"CL2_(5, 10)_delta",CL2,"(5, 10)",delta,LightGBM,-3.8457211315399086e-05
Control,Originality,"CL2_(5, 10)_lower gamma",CL2,"(5, 10)",lower gamma,LightGBM,0.0006803291122742822
Control,Originality,"CL2_(5, 10)_theta",CL2,"(5, 10)",theta,LightGBM,-9.559427297561224e-05
Control,Originality,"CL3_(-4, 0)_alpha",CL3,"(-4, 0)",alpha,LightGBM,0.0005464890391074944
Control,Originality,"CL3_(-4, 0)_beta",CL3,"(-4, 0)",beta,LightGBM,0.011727901724808075
Control,Originality,"CL3_(-4, 0)_delta",CL3,"(-4, 0)",delta,LightGBM,2.434239432998537e-05
Control,Originality,"CL3_(-4, 0)_lower gamma",CL3,"(-4, 0)",lower gamma,LightGBM,-1.1440558702354933e-05
Control,Originality,"CL3_(-4, 0)_theta",CL3,"(-4, 0)",theta,LightGBM,0.0007742195498556082
Control,Originality,"CL3_(0, 5)_alpha",CL3,"(0, 5)",alpha,LightGBM,0.0019011614344548815
Control,Originality,"CL3_(0, 5)_beta",CL3,"(0, 5)",beta,LightGBM,0.00015874441617258378
Control,Originality,"CL3_(0, 5)_delta",CL3,"(0, 5)",delta,LightGBM,0.0068625474737064865
Control,Originality,"CL3_(0, 5)_lower gamma",CL3,"(0, 5)",lower gamma,LightGBM,-0.0011059208777925078
Control,Originality,"CL3_(0, 5)_theta",CL3,"(0, 5)",theta,LightGBM,0.008397752495635782
Control,Originality,"CL3_(5, 10)_alpha",CL3,"(5, 10)",alpha,LightGBM,-0.00024149436048961353
Control,Originality,"CL3_(5, 10)_beta",CL3,"(5, 10)",beta,LightGBM,0.0009061270684849519
Control,Originality,"CL3_(5, 10)_delta",CL3,"(5, 10)",delta,LightGBM,-2.251009481623542e-05
Control,Originality,"CL3_(5, 10)_lower gamma",CL3,"(5, 10)",lower gamma,LightGBM,-0.0002275550027898107
Control,Originality,"CL3_(5, 10)_theta",CL3,"(5, 10)",theta,LightGBM,1.0491612419158003e-06
Control,Originality,"CL4_(-4, 0)_alpha",CL4,"(-4, 0)",alpha,LightGBM,0.0
Control,Originality,"CL4_(-4, 0)_beta",CL4,"(-4, 0)",beta,LightGBM,0.029168490782848954
Control,Originality,"CL4_(-4, 0)_delta",CL4,"(-4, 0)",delta,LightGBM,0.0
Control,Originality,"CL4_(-4, 0)_lower gamma",CL4,"(-4, 0)",lower gamma,LightGBM,-0.003984703746778633
Control,Originality,"CL4_(-4, 0)_theta",CL4,"(-4, 0)",theta,LightGBM,0.0
Control,Originality,"CL4_(0, 5)_alpha",CL4,"(0, 5)",alpha,LightGBM,-5.854787066608389e-05
Control,Originality,"CL4_(0, 5)_beta",CL4,"(0, 5)",beta,LightGBM,0.02913337318117072
Control,Originality,"CL4_(0, 5)_delta",CL4,"(0, 5)",delta,LightGBM,2.4603070061905928e-05
Control,Originality,"CL4_(0, 5)_lower gamma",CL4,"(0, 5)",lower gamma,LightGBM,-0.0004944986569860347
Control,Originality,"CL4_(0, 5)_theta",CL4,"(0, 5)",theta,LightGBM,0.0
Control,Originality,"CL4_(5, 10)_alpha",CL4,"(5, 10)",alpha,LightGBM,1.4170004830305431e-05
Control,Originality,"CL4_(5, 10)_beta",CL4,"(5, 10)",beta,LightGBM,-0.005024018255705708
Control,Originality,"CL4_(5, 10)_delta",CL4,"(5, 10)",delta,LightGBM,-0.0003509088819489706
Control,Originality,"CL4_(5, 10)_lower gamma",CL4,"(5, 10)",lower gamma,LightGBM,5.6684587594501066e-05
Control,Originality,"CL4_(5, 10)_theta",CL4,"(5, 10)",theta,LightGBM,0.0
Control,Originality,"CL5_(-4, 0)_alpha",CL5,"(-4, 0)",alpha,LightGBM,0.0
Control,Originality,"CL5_(-4, 0)_beta",CL5,"(-4, 0)",beta,LightGBM,-0.00022548041279764263
Control,Originality,"CL5_(-4, 0)_delta",CL5,"(-4, 0)",delta,LightGBM,0.0015744484022573587
Control,Originality,"CL5_(-4, 0)_lower gamma",CL5,"(-4, 0)",lower gamma,LightGBM,0.00013671959479743867
Control,Originality,"CL5_(-4, 0)_theta",CL5,"(-4, 0)",theta,LightGBM,0.0
Control,Originality,"CL5_(0, 5)_alpha",CL5,"(0, 5)",alpha,LightGBM,0.013979045484588984
Control,Originality,"CL5_(0, 5)_beta",CL5,"(0, 5)",beta,LightGBM,1.3093142641118304e-05
Control,Originality,"CL5_(0, 5)_delta",CL5,"(0, 5)",delta,LightGBM,0.0003872624778221466
Control,Originality,"CL5_(0, 5)_lower gamma",CL5,"(0, 5)",lower gamma,LightGBM,-0.000665951203439162
Control,Originality,"CL5_(0, 5)_theta",CL5,"(0, 5)",theta,LightGBM,0.0
Control,Originality,"CL5_(5, 10)_alpha",CL5,"(5, 10)",alpha,LightGBM,0.02538864437270634
Control,Originality,"CL5_(5, 10)_beta",CL5,"(5, 10)",beta,LightGBM,-0.0004175115257546982
Control,Originality,"CL5_(5, 10)_delta",CL5,"(5, 10)",delta,LightGBM,-3.7402384777629847e-06
Control,Originality,"CL5_(5, 10)_lower gamma",CL5,"(5, 10)",lower gamma,LightGBM,-0.0018099299472458328
Control,Originality,"CL5_(5, 10)_theta",CL5,"(5, 10)",theta,LightGBM,-0.0003599987739390109
Control,Originality,"CL6_(-4, 0)_alpha",CL6,"(-4, 0)",alpha,LightGBM,0.001490148027631526
Control,Originality,"CL6_(-4, 0)_beta",CL6,"(-4, 0)",beta,LightGBM,0.0
Control,Originality,"CL6_(-4, 0)_delta",CL6,"(-4, 0)",delta,LightGBM,-0.00023179936643828267
Control,Originality,"CL6_(-4, 0)_lower gamma",CL6,"(-4, 0)",lower gamma,LightGBM,0.0
Control,Originality,"CL6_(-4, 0)_theta",CL6,"(-4, 0)",theta,LightGBM,0.0
Control,Originality,"CL6_(0, 5)_alpha",CL6,"(0, 5)",alpha,LightGBM,0.009454170475923684
Control,Originality,"CL6_(0, 5)_beta",CL6,"(0, 5)",beta,LightGBM,-0.00021751144044104606
Control,Originality,"CL6_(0, 5)_delta",CL6,"(0, 5)",delta,LightGBM,-3.711590122382911e-05
Control,Originality,"CL6_(0, 5)_lower gamma",CL6,"(0, 5)",lower gamma,LightGBM,-0.0010854387573657187
Control,Originality,"CL6_(0, 5)_theta",CL6,"(0, 5)",theta,LightGBM,0.0
Control,Originality,"CL6_(5, 10)_alpha",CL6,"(5, 10)",alpha,LightGBM,-0.003808346060930586
Control,Originality,"CL6_(5, 10)_beta",CL6,"(5, 10)",beta,LightGBM,0.0
Control,Originality,"CL6_(5, 10)_delta",CL6,"(5, 10)",delta,LightGBM,0.0
Control,Originality,"CL6_(5, 10)_lower gamma",CL6,"(5, 10)",lower gamma,LightGBM,-1.5110947363091445e-05
Control,Originality,"CL6_(5, 10)_theta",CL6,"(5, 10)",theta,LightGBM,4.256352483060645e-05
Control,Vivid_Imagery,"CL1_(-4, 0)_alpha",CL1,"(-4, 0)",alpha,LightGBM,0.0007518060389462089
Control,Vivid_Imagery,"CL1_(-4, 0)_beta",CL1,"(-4, 0)",beta,LightGBM,0.0022368478234533833
Control,Vivid_Imagery,"CL1_(-4, 0)_delta",CL1,"(-4, 0)",delta,LightGBM,5.157644156180873e-05
Control,Vivid_Imagery,"CL1_(-4, 0)_lower gamma",CL1,"(-4, 0)",lower gamma,LightGBM,0.0002657890039036698
Control,Vivid_Imagery,"CL1_(-4, 0)_theta",CL1,"(-4, 0)",theta,LightGBM,0.0014973812355293104
Control,Vivid_Imagery,"CL1_(0, 5)_alpha",CL1,"(0, 5)",alpha,LightGBM,0.0002100816289028616
Control,Vivid_Imagery,"CL1_(0, 5)_beta",CL1,"(0, 5)",beta,LightGBM,-0.00011097693576300955
Control,Vivid_Imagery,"CL1_(0, 5)_delta",CL1,"(0, 5)",delta,LightGBM,5.241216933001558e-05
Control,Vivid_Imagery,"CL1_(0, 5)_lower gamma",CL1,"(0, 5)",lower gamma,LightGBM,-0.00019548119869441623
Control,Vivid_Imagery,"CL1_(0, 5)_theta",CL1,"(0, 5)",theta,LightGBM,7.352527271446849e-05
Control,Vivid_Imagery,"CL1_(5, 10)_alpha",CL1,"(5, 10)",alpha,LightGBM,0.0002622716820933505
Control,Vivid_Imagery,"CL1_(5, 10)_beta",CL1,"(5, 10)",beta,LightGBM,0.0018510994100274876
Control,Vivid_Imagery,"CL1_(5, 10)_delta",CL1,"(5, 10)",delta,LightGBM,0.0006952470379455587
Control,Vivid_Imagery,"CL1_(5, 10)_lower gamma",CL1,"(5, 10)",lower gamma,LightGBM,2.8461430278848664e-05
Control,Vivid_Imagery,"CL1_(5, 10)_theta",CL1,"(5, 10)",theta,LightGBM,0.0022477940289325855
Control,Vivid_Imagery,"CL2_(-4, 0)_alpha",CL2,"(-4, 0)",alpha,LightGBM,0.000349302496398685
Control,Vivid_Imagery,"CL2_(-4, 0)_beta",CL2,"(-4, 0)",beta,LightGBM,-7.989848517509625e-06
Control,Vivid_Imagery,"CL2_(-4, 0)_delta",CL2,"(-4, 0)",delta,LightGBM,6.321996409067785e-05
Control,Vivid_Imagery,"CL2_(-4, 0)_lower gamma",CL2,"(-4, 0)",lower gamma,LightGBM,-4.614681207496271e-05
Control,Vivid_Imagery,"CL2_(-4, 0)_theta",CL2,"(-4, 0)",theta,LightGBM,0.0007427861339605839
Control,Vivid_Imagery,"CL2_(0, 5)_alpha",CL2,"(0, 5)",alpha,LightGBM,0.0005069677553136062
Control,Vivid_Imagery,"CL2_(0, 5)_beta",CL2,"(0, 5)",beta,LightGBM,-0.0001998082174501088
Control,Vivid_Imagery,"CL2_(0, 5)_delta",CL2,"(0, 5)",delta,LightGBM,0.0003791656859987059
Control,Vivid_Imagery,"CL2_(0, 5)_lower gamma",CL2,"(0, 5)",lower gamma,LightGBM,-0.0001312087711666046
Control,Vivid_Imagery,"CL2_(0, 5)_theta",CL2,"(0, 5)",theta,LightGBM,0.0006487883317305043
Control,Vivid_Imagery,"CL2_(5, 10)_alpha",CL2,"(5, 10)",alpha,LightGBM,9.788839010853317e-05
Control,Vivid_Imagery,"CL2_(5, 10)_beta",CL2,"(5, 10)",beta,LightGBM,-0.00011394167972799264
Control,Vivid_Imagery,"CL2_(5, 10)_delta",CL2,"(5, 10)",delta,LightGBM,0.0008150523638413128
Control,Vivid_Imagery,"CL2_(5, 10)_lower gamma",CL2,"(5, 10)",lower gamma,LightGBM,1.7469884554080158e-05
Control,Vivid_Imagery,"CL2_(5, 10)_theta",CL2,"(5, 10)",theta,LightGBM,0.00038106821880244657
Control,Vivid_Imagery,"CL3_(-4, 0)_alpha",CL3,"(-4, 0)",alpha,LightGBM,0.00011281441324259007
Control,Vivid_Imagery,"CL3_(-4, 0)_beta",CL3,"(-4, 0)",beta,LightGBM,0.0024296299739275137
Control,Vivid_Imagery,"CL3_(-4, 0)_delta",CL3,"(-4, 0)",delta,LightGBM,0.00023410133660981187
Control,Vivid_Imagery,"CL3_(-4, 0)_lower gamma",CL3,"(-4, 0)",lower gamma,LightGBM,0.0004016730759964672
Control,Vivid_Imagery,"CL3_(-4, 0)_theta",CL3,"(-4, 0)",theta,LightGBM,0.000239509255954735
Control,Vivid_Imagery,"CL3_(0, 5)_alpha",CL3,"(0, 5)",alpha,LightGBM,0.0005439305731225557
Control,Vivid_Imagery,"CL3_(0, 5)_beta",CL3,"(0, 5)",beta,LightGBM,0.0006120828642720381
Control,Vivid_Imagery,"CL3_(0, 5)_delta",CL3,"(0, 5)",delta,LightGBM,6.453586014560846e-05
Control,Vivid_Imagery,"CL3_(0, 5)_lower gamma",CL3,"(0, 5)",lower gamma,LightGBM,0.0038734824881822283
Control,Vivid_Imagery,"CL3_(0, 5)_theta",CL3,"(0, 5)",theta,LightGBM,0.0004539133501258844
Control,Vivid_Imagery,"CL3_(5, 10)_alpha",CL3,"(5, 10)",alpha,LightGBM,0.00016074507031656887
Control,Vivid_Imagery,"CL3_(5, 10)_beta",CL3,"(5, 10)",beta,LightGBM,0.002224010888560334
Control,Vivid_Imagery,"CL3_(5, 10)_delta",CL3,"(5, 10)",delta,LightGBM,1.9607009520877393e-05
Control,Vivid_Imagery,"CL3_(5, 10)_lower gamma",CL3,"(5, 10)",lower gamma,LightGBM,0.0046093248928265225
Control,Vivid_Imagery,"CL3_(5, 10)_theta",CL3,"(5, 10)",theta,LightGBM,0.00017574583087148708
Control,Vivid_Imagery,"CL4_(-4, 0)_alpha",CL4,"(-4, 0)",alpha,LightGBM,0.00023113753978749578
Control,Vivid_Imagery,"CL4_(-4, 0)_beta",CL4,"(-4, 0)",beta,LightGBM,0.009440414578648498
Control,Vivid_Imagery,"CL4_(-4, 0)_delta",CL4,"(-4, 0)",delta,LightGBM,-1.120218948846394e-05
Control,Vivid_Imagery,"CL4_(-4, 0)_lower gamma",CL4,"(-4, 0)",lower gamma,LightGBM,8.543084110780939e-05
Control,Vivid_Imagery,"CL4_(-4, 0)_theta",CL4,"(-4, 0)",theta,LightGBM,3.847474056804927e-07
Control,Vivid_Imagery,"CL4_(0, 5)_alpha",CL4,"(0, 5)",alpha,LightGBM,0.00011272033897032648
Control,Vivid_Imagery,"CL4_(0, 5)_beta",CL4,"(0, 5)",beta,LightGBM,-0.00018634819072312195
Control,Vivid_Imagery,"CL4_(0, 5)_delta",CL4,"(0, 5)",delta,LightGBM,-2.5810859755363652e-05
Control,Vivid_Imagery,"CL4_(0, 5)_lower gamma",CL4,"(0, 5)",lower gamma,LightGBM,0.0004140293391324245
Control,Vivid_Imagery,"CL4_(0, 5)_theta",CL4,"(0, 5)",theta,LightGBM,-0.00039938659153764764
Control,Vivid_Imagery,"CL4_(5, 10)_alpha",CL4,"(5, 10)",alpha,LightGBM,0.0006701883188100638
Control,Vivid_Imagery,"CL4_(5, 10)_beta",CL4,"(5, 10)",beta,LightGBM,0.00047172069963876887
Control,Vivid_Imagery,"CL4_(5, 10)_delta",CL4,"(5, 10)",delta,LightGBM,0.00012483074808066575
Control,Vivid_Imagery,"CL4_(5, 10)_lower gamma",CL4,"(5, 10)",lower gamma,LightGBM,0.0005452317701804815
Control,Vivid_Imagery,"CL4_(5, 10)_theta",CL4,"(5, 10)",theta,LightGBM,-0.00032790805878087477
Control,Vivid_Imagery,"CL5_(-4, 0)_alpha",CL5,"(-4, 0)",alpha,LightGBM,-0.00014899601172391
Control,Vivid_Imagery,"CL5_(-4, 0)_beta",CL5,"(-4, 0)",beta,LightGBM,-0.00013939222681357902
Control,Vivid_Imagery,"CL5_(-4, 0)_delta",CL5,"(-4, 0)",delta,LightGBM,-0.00019481734580505068
Control,Vivid_Imagery,"CL5_(-4, 0)_lower gamma",CL5,"(-4, 0)",lower gamma,LightGBM,5.142115601897991e-05
Control,Vivid_Imagery,"CL5_(-4, 0)_theta",CL5,"(-4, 0)",theta,LightGBM,3.0602906859225364e-05
Control,Vivid_Imagery,"CL5_(0, 5)_alpha",CL5,"(0, 5)",alpha,LightGBM,0.0007175047786929792
Control,Vivid_Imagery,"CL5_(0, 5)_beta",CL5,"(0, 5)",beta,LightGBM,4.4507612117961845e-06
Control,Vivid_Imagery,"CL5_(0, 5)_delta",CL5,"(0, 5)",delta,LightGBM,0.00015908070871611376
Control,Vivid_Imagery,"CL5_(0, 5)_lower gamma",CL5,"(0, 5)",lower gamma,LightGBM,0.00047203990655423164
Control,Vivid_Imagery,"CL5_(0, 5)_theta",CL5,"(0, 5)",theta,LightGBM,0.0007054660788199284
Control,Vivid_Imagery,"CL5_(5, 10)_alpha",CL5,"(5, 10)",alpha,LightGBM,0.0004791966787203503
Control,Vivid_Imagery,"CL5_(5, 10)_beta",CL5,"(5, 10)",beta,LightGBM,-0.00016461645874185006
Control,Vivid_Imagery,"CL5_(5, 10)_delta",CL5,"(5, 10)",delta,LightGBM,0.0002573185606975056
Control,Vivid_Imagery,"CL5_(5, 10)_lower gamma",CL5,"(5, 10)",lower gamma,LightGBM,5.859581557672464e-05
Control,Vivid_Imagery,"CL5_(5, 10)_theta",CL5,"(5, 10)",theta,LightGBM,0.0003368051623343714
Control,Vivid_Imagery,"CL6_(-4, 0)_alpha",CL6,"(-4, 0)",alpha,LightGBM,4.406248643040738e-05
Control,Vivid_Imagery,"CL6_(-4, 0)_beta",CL6,"(-4, 0)",beta,LightGBM,2.0429892338081072e-05
Control,Vivid_Imagery,"CL6_(-4, 0)_delta",CL6,"(-4, 0)",delta,LightGBM,0.000488121707605495
Control,Vivid_Imagery,"CL6_(-4, 0)_lower gamma",CL6,"(-4, 0)",lower gamma,LightGBM,-0.00016704800005675925
Control,Vivid_Imagery,"CL6_(-4, 0)_theta",CL6,"(-4, 0)",theta,LightGBM,0.00043188908323885355
Control,Vivid_Imagery,"CL6_(0, 5)_alpha",CL6,"(0, 5)",alpha,LightGBM,0.0006695671169841452
Control,Vivid_Imagery,"CL6_(0, 5)_beta",CL6,"(0, 5)",beta,LightGBM,-0.0007719603488036685
Control,Vivid_Imagery,"CL6_(0, 5)_delta",CL6,"(0, 5)",delta,LightGBM,0.00024648018469528455
Control,Vivid_Imagery,"CL6_(0, 5)_lower gamma",CL6,"(0, 5)",lower gamma,LightGBM,-0.00011102860292112044
Control,Vivid_Imagery,"CL6_(0, 5)_theta",CL6,"(0, 5)",theta,LightGBM,5.008442256927976e-06
Control,Vivid_Imagery,"CL6_(5, 10)_alpha",CL6,"(5, 10)",alpha,LightGBM,0.0008095153161429731
Control,Vivid_Imagery,"CL6_(5, 10)_beta",CL6,"(5, 10)",beta,LightGBM,-0.00010467979149203044
Control,Vivid_Imagery,"CL6_(5, 10)_delta",CL6,"(5, 10)",delta,LightGBM,0.00026149617629188816
Control,Vivid_Imagery,"CL6_(5, 10)_lower gamma",CL6,"(5, 10)",lower gamma,LightGBM,8.661513679903064e-05
Control,Vivid_Imagery,"CL6_(5, 10)_theta",CL6,"(5, 10)",theta,LightGBM,0.00033509690669469004
Haiku,Aesthetic_Appeal,"CL1_(-4, 0)_alpha",CL1,"(-4, 0)",alpha,LightGBM,0.005732799926010101
Haiku,Aesthetic_Appeal,"CL1_(-4, 0)_beta",CL1,"(-4, 0)",beta,LightGBM,-0.003420416598146434
Haiku,Aesthetic_Appeal,"CL1_(-4, 0)_delta",CL1,"(-4, 0)",delta,LightGBM,-0.00019583138012330178
Haiku,Aesthetic_Appeal,"CL1_(-4, 0)_lower gamma",CL1,"(-4, 0)",lower gamma,LightGBM,0.0
Haiku,Aesthetic_Appeal,"CL1_(-4, 0)_theta",CL1,"(-4, 0)",theta,LightGBM,0.0010008104273547909
Haiku,Aesthetic_Appeal,"CL1_(0, 5)_alpha",CL1,"(0, 5)",alpha,LightGBM,0.0010292018370698238
Haiku,Aesthetic_Appeal,"CL1_(0, 5)_beta",CL1,"(0, 5)",beta,LightGBM,0.0
Haiku,Aesthetic_Appeal,"CL1_(0, 5)_delta",CL1,"(0, 5)",delta,LightGBM,-0.0012271684450460131
Haiku,Aesthetic_Appeal,"CL1_(0, 5)_lower gamma",CL1,"(0, 5)",lower gamma,LightGBM,-0.001135380788569298
Haiku,Aesthetic_Appeal,"CL1_(0, 5)_theta",CL1,"(0, 5)",theta,LightGBM,-0.0002987869489898598
Haiku,Aesthetic_Appeal,"CL1_(5, 10)_alpha",CL1,"(5, 10)",alpha,LightGBM,0.0004118071091222363
Haiku,Aesthetic_Appeal,"CL1_(5, 10)_beta",CL1,"(5, 10)",beta,LightGBM,7.586156144815806e-05
Haiku,Aesthetic_Appeal,"CL1_(5, 10)_delta",CL1,"(5, 10)",delta,LightGBM,-0.0001561874689002242
Haiku,Aesthetic_Appeal,"CL1_(5, 10)_lower gamma",CL1,"(5, 10)",lower gamma,LightGBM,3.7459200817447905e-05
Haiku,Aesthetic_Appeal,"CL1_(5, 10)_theta",CL1,"(5, 10)",theta,LightGBM,-7.80787063900321e-05
Haiku,Aesthetic_Appeal,"CL2_(-4, 0)_alpha",CL2,"(-4, 0)",alpha,LightGBM,-0.0021051235789057887
Haiku,Aesthetic_Appeal,"CL2_(-4, 0)_beta",CL2,"(-4, 0)",beta,LightGBM,-0.0008065134401448031
Haiku,Aesthetic_Appeal,"CL2_(-4, 0)_delta",CL2,"(-4, 0)",delta,LightGBM,0.0
Haiku,Aesthetic_Appeal,"CL2_(-4, 0)_lower gamma",CL2,"(-4, 0)",lower gamma,LightGBM,0.00021051148595153165
Haiku,Aesthetic_Appeal,"CL2_(-4, 0)_theta",CL2,"(-4, 0)",theta,LightGBM,0.0
Haiku,Aesthetic_Appeal,"CL2_(0, 5)_alpha",CL2,"(0, 5)",alpha,LightGBM,0.003080049326384065
Haiku,Aesthetic_Appeal,"CL2_(0, 5)_beta",CL2,"(0, 5)",beta,LightGBM,-0.0004918440430381517
Haiku,Aesthetic_Appeal,"CL2_(0, 5)_delta",CL2,"(0, 5)",delta,LightGBM,-0.0036590125527642798
