Stimulus,TargetScore,features,Cluster,Time Period,Frequency,Estimator,SHAP_value
Control,Moved,"CL4_(5, 10)_lower gamma",CL4,"(5, 10)",lower gamma,LightGBM,7.157701383341677
Control,Moved,"CL4_(5, 10)_theta",CL4,"(5, 10)",theta,LightGBM,7.313725790947436
Control,Moved,"CL5_(-4, 0)_alpha",CL5,"(-4, 0)",alpha,LightGBM,-0.6628658040982541
Control,Moved,"CL5_(-4, 0)_beta",CL5,"(-4, 0)",beta,LightGBM,0.0881529342914178
Control,Moved,"CL5_(-4, 0)_delta",CL5,"(-4, 0)",delta,LightGBM,15.081879712223927
Control,Moved,"CL5_(-4, 0)_lower gamma",CL5,"(-4, 0)",lower gamma,LightGBM,1.2415051899766425
Control,Moved,"CL5_(-4, 0)_theta",CL5,"(-4, 0)",theta,LightGBM,-0.04200748846081712
Control,Moved,"CL5_(0, 5)_alpha",CL5,"(0, 5)",alpha,LightGBM,42.65039867421663
Control,Moved,"CL5_(0, 5)_beta",CL5,"(0, 5)",beta,LightGBM,-1.8310532840633529
Control,Moved,"CL5_(0, 5)_delta",CL5,"(0, 5)",delta,LightGBM,7.181171924618928
Control,Moved,"CL5_(0, 5)_lower gamma",CL5,"(0, 5)",lower gamma,LightGBM,39.18114485017313
Control,Moved,"CL5_(0, 5)_theta",CL5,"(0, 5)",theta,LightGBM,24.969948782042536
Control,Moved,"CL5_(5, 10)_alpha",CL5,"(5, 10)",alpha,LightGBM,5.600825620520453
Control,Moved,"CL5_(5, 10)_beta",CL5,"(5, 10)",beta,LightGBM,-2.3371755497406306
Control,Moved,"CL5_(5, 10)_delta",CL5,"(5, 10)",delta,LightGBM,2.6579425328240087
Control,Moved,"CL5_(5, 10)_lower gamma",CL5,"(5, 10)",lower gamma,LightGBM,5.380847660581671
Control,Moved,"CL5_(5, 10)_theta",CL5,"(5, 10)",theta,LightGBM,-0.6384094094093242
Control,Moved,"CL6_(-4, 0)_alpha",CL6,"(-4, 0)",alpha,LightGBM,2.813010899695438
Control,Moved,"CL6_(-4, 0)_beta",CL6,"(-4, 0)",beta,LightGBM,-19.932546212734813
Control,Moved,"CL6_(-4, 0)_delta",CL6,"(-4, 0)",delta,LightGBM,5.737991433523903
Control,Moved,"CL6_(-4, 0)_lower gamma",CL6,"(-4, 0)",lower gamma,LightGBM,-17.488920334924945
Control,Moved,"CL6_(-4, 0)_theta",CL6,"(-4, 0)",theta,LightGBM,-2.1143152628571897
Control,Moved,"CL6_(0, 5)_alpha",CL6,"(0, 5)",alpha,LightGBM,31.318412921058126
Control,Moved,"CL6_(0, 5)_beta",CL6,"(0, 5)",beta,LightGBM,-1.7828750057773588
Control,Moved,"CL6_(0, 5)_delta",CL6,"(0, 5)",delta,LightGBM,-2.3020942066579813
Control,Moved,"CL6_(0, 5)_lower gamma",CL6,"(0, 5)",lower gamma,LightGBM,54.535815032229266
Control,Moved,"CL6_(0, 5)_theta",CL6,"(0, 5)",theta,LightGBM,-1.8188345614674741
Control,Moved,"CL6_(5, 10)_alpha",CL6,"(5, 10)",alpha,LightGBM,49.06103832734327
Control,Moved,"CL6_(5, 10)_beta",CL6,"(5, 10)",beta,LightGBM,-67.5425312860726
Control,Moved,"CL6_(5, 10)_delta",CL6,"(5, 10)",delta,LightGBM,54.943190461997965
Control,Moved,"CL6_(5, 10)_lower gamma",CL6,"(5, 10)",lower gamma,LightGBM,30.677879950502884
Control,Moved,"CL6_(5, 10)_theta",CL6,"(5, 10)",theta,LightGBM,1.8983806688336275
Control,Originality,"CL1_(-4, 0)_alpha",CL1,"(-4, 0)",alpha,LightGBM,1.5771278673385125
Control,Originality,"CL1_(-4, 0)_beta",CL1,"(-4, 0)",beta,LightGBM,0.0
Control,Originality,"CL1_(-4, 0)_delta",CL1,"(-4, 0)",delta,LightGBM,5.325618332289348
Control,Originality,"CL1_(-4, 0)_lower gamma",CL1,"(-4, 0)",lower gamma,LightGBM,-2.790964254879065
Control,Originality,"CL1_(-4, 0)_theta",CL1,"(-4, 0)",theta,LightGBM,9.293903897709468
Control,Originality,"CL1_(0, 5)_alpha",CL1,"(0, 5)",alpha,LightGBM,1.7177463760692913
Control,Originality,"CL1_(0, 5)_beta",CL1,"(0, 5)",beta,LightGBM,-4.303397669583638
Control,Originality,"CL1_(0, 5)_delta",CL1,"(0, 5)",delta,LightGBM,-0.005633998861650975
Control,Originality,"CL1_(0, 5)_lower gamma",CL1,"(0, 5)",lower gamma,LightGBM,0.17232190414102921
Control,Originality,"CL1_(0, 5)_theta",CL1,"(0, 5)",theta,LightGBM,1.1256626510854462
Control,Originality,"CL1_(5, 10)_alpha",CL1,"(5, 10)",alpha,LightGBM,0.0
Control,Originality,"CL1_(5, 10)_beta",CL1,"(5, 10)",beta,LightGBM,0.024003389022412135
Control,Originality,"CL1_(5, 10)_delta",CL1,"(5, 10)",delta,LightGBM,-0.005679072365475464
Control,Originality,"CL1_(5, 10)_lower gamma",CL1,"(5, 10)",lower gamma,LightGBM,0.4779086359033408
Control,Originality,"CL1_(5, 10)_theta",CL1,"(5, 10)",theta,LightGBM,0.0
Control,Originality,"CL2_(-4, 0)_alpha",CL2,"(-4, 0)",alpha,LightGBM,2.6571183019000433
Control,Originality,"CL2_(-4, 0)_beta",CL2,"(-4, 0)",beta,LightGBM,0.0
Control,Originality,"CL2_(-4, 0)_delta",CL2,"(-4, 0)",delta,LightGBM,0.00983176627382357
Control,Originality,"CL2_(-4, 0)_lower gamma",CL2,"(-4, 0)",lower gamma,LightGBM,36.54506308922277
Control,Originality,"CL2_(-4, 0)_theta",CL2,"(-4, 0)",theta,LightGBM,0.09389933128876637
Control,Originality,"CL2_(0, 5)_alpha",CL2,"(0, 5)",alpha,LightGBM,0.0
Control,Originality,"CL2_(0, 5)_beta",CL2,"(0, 5)",beta,LightGBM,-59.01389261869809
Control,Originality,"CL2_(0, 5)_delta",CL2,"(0, 5)",delta,LightGBM,0.0
Control,Originality,"CL2_(0, 5)_lower gamma",CL2,"(0, 5)",lower gamma,LightGBM,-3.991620047197708
Control,Originality,"CL2_(0, 5)_theta",CL2,"(0, 5)",theta,LightGBM,4.813359732404326
Control,Originality,"CL2_(5, 10)_alpha",CL2,"(5, 10)",alpha,LightGBM,0.19918213113422362
Control,Originality,"CL2_(5, 10)_beta",CL2,"(5, 10)",beta,LightGBM,-0.26379646539410034
Control,Originality,"CL2_(5, 10)_delta",CL2,"(5, 10)",delta,LightGBM,-0.126524225227663
Control,Originality,"CL2_(5, 10)_lower gamma",CL2,"(5, 10)",lower gamma,LightGBM,2.2382827793823887
Control,Originality,"CL2_(5, 10)_theta",CL2,"(5, 10)",theta,LightGBM,-0.31450515808976426
Control,Originality,"CL3_(-4, 0)_alpha",CL3,"(-4, 0)",alpha,LightGBM,1.7979489386636567
Control,Originality,"CL3_(-4, 0)_beta",CL3,"(-4, 0)",beta,LightGBM,38.584796674618566
Control,Originality,"CL3_(-4, 0)_delta",CL3,"(-4, 0)",delta,LightGBM,0.08008647734565187
Control,Originality,"CL3_(-4, 0)_lower gamma",CL3,"(-4, 0)",lower gamma,LightGBM,-0.03763943813074773
Control,Originality,"CL3_(-4, 0)_theta",CL3,"(-4, 0)",theta,LightGBM,2.547182319024951
Control,Originality,"CL3_(0, 5)_alpha",CL3,"(0, 5)",alpha,LightGBM,6.25482111935656
Control,Originality,"CL3_(0, 5)_beta",CL3,"(0, 5)",beta,LightGBM,0.5222691292078007
Control,Originality,"CL3_(0, 5)_delta",CL3,"(0, 5)",delta,LightGBM,22.577781188494342
Control,Originality,"CL3_(0, 5)_lower gamma",CL3,"(0, 5)",lower gamma,LightGBM,-3.638479687937351
Control,Originality,"CL3_(0, 5)_theta",CL3,"(0, 5)",theta,LightGBM,27.62860571064172
Control,Originality,"CL3_(5, 10)_alpha",CL3,"(5, 10)",alpha,LightGBM,-0.7945164460108285
Control,Originality,"CL3_(5, 10)_beta",CL3,"(5, 10)",beta,LightGBM,2.981158055315492
Control,Originality,"CL3_(5, 10)_delta",CL3,"(5, 10)",delta,LightGBM,-0.07405821194541452
Control,Originality,"CL3_(5, 10)_lower gamma",CL3,"(5, 10)",lower gamma,LightGBM,-0.7486559591784772
Control,Originality,"CL3_(5, 10)_theta",CL3,"(5, 10)",theta,LightGBM,0.003451740485902983
Control,Originality,"CL4_(-4, 0)_alpha",CL4,"(-4, 0)",alpha,LightGBM,0.0
Control,Originality,"CL4_(-4, 0)_beta",CL4,"(-4, 0)",beta,LightGBM,95.96433467557306
Control,Originality,"CL4_(-4, 0)_delta",CL4,"(-4, 0)",delta,LightGBM,0.0
Control,Originality,"CL4_(-4, 0)_lower gamma",CL4,"(-4, 0)",lower gamma,LightGBM,-13.109675326901703
Control,Originality,"CL4_(-4, 0)_theta",CL4,"(-4, 0)",theta,LightGBM,0.0
Control,Originality,"CL4_(0, 5)_alpha",CL4,"(0, 5)",alpha,LightGBM,-0.192622494491416
Control,Originality,"CL4_(0, 5)_beta",CL4,"(0, 5)",beta,LightGBM,95.84879776605167
Control,Originality,"CL4_(0, 5)_delta",CL4,"(0, 5)",delta,LightGBM,0.0809441005036705
Control,Originality,"CL4_(0, 5)_lower gamma",CL4,"(0, 5)",lower gamma,LightGBM,-1.626900581484054
Control,Originality,"CL4_(0, 5)_theta",CL4,"(0, 5)",theta,LightGBM,0.0
Control,Originality,"CL4_(5, 10)_alpha",CL4,"(5, 10)",alpha,LightGBM,0.04661931589170487
Control,Originality,"CL4_(5, 10)_beta",CL4,"(5, 10)",beta,LightGBM,-16.52902006127178
Control,Originality,"CL4_(5, 10)_delta",CL4,"(5, 10)",delta,LightGBM,-1.1544902216121133
Control,Originality,"CL4_(5, 10)_lower gamma",CL4,"(5, 10)",lower gamma,LightGBM,0.18649229318590851
Control,Originality,"CL4_(5, 10)_theta",CL4,"(5, 10)",theta,LightGBM,0.0
Control,Originality,"CL5_(-4, 0)_alpha",CL5,"(-4, 0)",alpha,LightGBM,0.0
Control,Originality,"CL5_(-4, 0)_beta",CL5,"(-4, 0)",beta,LightGBM,-0.7418305581042443
Control,Originality,"CL5_(-4, 0)_delta",CL5,"(-4, 0)",delta,LightGBM,5.17993524342671
Control,Originality,"CL5_(-4, 0)_lower gamma",CL5,"(-4, 0)",lower gamma,LightGBM,0.4498074668835732
Control,Originality,"CL5_(-4, 0)_theta",CL5,"(-4, 0)",theta,LightGBM,0.0
Control,Originality,"CL5_(0, 5)_alpha",CL5,"(0, 5)",alpha,LightGBM,45.991059644297756
Control,Originality,"CL5_(0, 5)_beta",CL5,"(0, 5)",beta,LightGBM,0.04307643928927922
Control,Originality,"CL5_(0, 5)_delta",CL5,"(0, 5)",delta,LightGBM,1.2740935520348622
Control,Originality,"CL5_(0, 5)_lower gamma",CL5,"(0, 5)",lower gamma,LightGBM,-2.190979459314843
Control,Originality,"CL5_(0, 5)_theta",CL5,"(0, 5)",theta,LightGBM,0.0
Control,Originality,"CL5_(5, 10)_alpha",CL5,"(5, 10)",alpha,LightGBM,83.52863998620386
Control,Originality,"CL5_(5, 10)_beta",CL5,"(5, 10)",beta,LightGBM,-1.3736129197329572
Control,Originality,"CL5_(5, 10)_delta",CL5,"(5, 10)",delta,LightGBM,-0.01230538459184022
Control,Originality,"CL5_(5, 10)_lower gamma",CL5,"(5, 10)",lower gamma,LightGBM,-5.95466952643879
Control,Originality,"CL5_(5, 10)_theta",CL5,"(5, 10)",theta,LightGBM,-1.184395966259346
Control,Originality,"CL6_(-4, 0)_alpha",CL6,"(-4, 0)",alpha,LightGBM,4.9025870109077205
Control,Originality,"CL6_(-4, 0)_beta",CL6,"(-4, 0)",beta,LightGBM,0.0
Control,Originality,"CL6_(-4, 0)_delta",CL6,"(-4, 0)",delta,LightGBM,-0.76261991558195
Control,Originality,"CL6_(-4, 0)_lower gamma",CL6,"(-4, 0)",lower gamma,LightGBM,0.0
Control,Originality,"CL6_(-4, 0)_theta",CL6,"(-4, 0)",theta,LightGBM,0.0
Control,Originality,"CL6_(0, 5)_alpha",CL6,"(0, 5)",alpha,LightGBM,31.104220865788918
Control,Originality,"CL6_(0, 5)_beta",CL6,"(0, 5)",beta,LightGBM,-0.7156126390510416
Control,Originality,"CL6_(0, 5)_delta",CL6,"(0, 5)",delta,LightGBM,-0.12211131502639778
Control,Originality,"CL6_(0, 5)_lower gamma",CL6,"(0, 5)",lower gamma,LightGBM,-3.5710935117332148
Control,Originality,"CL6_(0, 5)_theta",CL6,"(0, 5)",theta,LightGBM,0.0
Control,Originality,"CL6_(5, 10)_alpha",CL6,"(5, 10)",alpha,LightGBM,-12.529458540461627
Control,Originality,"CL6_(5, 10)_beta",CL6,"(5, 10)",beta,LightGBM,0.0
Control,Originality,"CL6_(5, 10)_delta",CL6,"(5, 10)",delta,LightGBM,0.0
Control,Originality,"CL6_(5, 10)_lower gamma",CL6,"(5, 10)",lower gamma,LightGBM,-0.04971501682457086
Control,Originality,"CL6_(5, 10)_theta",CL6,"(5, 10)",theta,LightGBM,0.14003399669269523
Control,Vivid_Imagery,"CL1_(-4, 0)_alpha",CL1,"(-4, 0)",alpha,LightGBM,2.4734418681330275
Control,Vivid_Imagery,"CL1_(-4, 0)_beta",CL1,"(-4, 0)",beta,LightGBM,7.359229339161631
Control,Vivid_Imagery,"CL1_(-4, 0)_delta",CL1,"(-4, 0)",delta,LightGBM,0.16968649273835074
Control,Vivid_Imagery,"CL1_(-4, 0)_lower gamma",CL1,"(-4, 0)",lower gamma,LightGBM,0.8744458228430737
Control,Vivid_Imagery,"CL1_(-4, 0)_theta",CL1,"(-4, 0)",theta,LightGBM,4.926384264891431
Control,Vivid_Imagery,"CL1_(0, 5)_alpha",CL1,"(0, 5)",alpha,LightGBM,0.6911685590904146
Control,Vivid_Imagery,"CL1_(0, 5)_beta",CL1,"(0, 5)",beta,LightGBM,-0.3651141186603014
Control,Vivid_Imagery,"CL1_(0, 5)_delta",CL1,"(0, 5)",delta,LightGBM,0.17243603709575125
Control,Vivid_Imagery,"CL1_(0, 5)_lower gamma",CL1,"(0, 5)",lower gamma,LightGBM,-0.6431331437046294
Control,Vivid_Imagery,"CL1_(0, 5)_theta",CL1,"(0, 5)",theta,LightGBM,0.24189814723060135
Control,Vivid_Imagery,"CL1_(5, 10)_alpha",CL1,"(5, 10)",alpha,LightGBM,0.8628738340871231
Control,Vivid_Imagery,"CL1_(5, 10)_beta",CL1,"(5, 10)",beta,LightGBM,6.090117058990434
Control,Vivid_Imagery,"CL1_(5, 10)_delta",CL1,"(5, 10)",delta,LightGBM,2.287362754840888
Control,Vivid_Imagery,"CL1_(5, 10)_lower gamma",CL1,"(5, 10)",lower gamma,LightGBM,0.0936381056174121
Control,Vivid_Imagery,"CL1_(5, 10)_theta",CL1,"(5, 10)",theta,LightGBM,7.395242355188206
Control,Vivid_Imagery,"CL2_(-4, 0)_alpha",CL2,"(-4, 0)",alpha,LightGBM,1.1492052131516737
Control,Vivid_Imagery,"CL2_(-4, 0)_beta",CL2,"(-4, 0)",beta,LightGBM,-0.026286601622606664
Control,Vivid_Imagery,"CL2_(-4, 0)_delta",CL2,"(-4, 0)",delta,LightGBM,0.20799368185833012
Control,Vivid_Imagery,"CL2_(-4, 0)_lower gamma",CL2,"(-4, 0)",lower gamma,LightGBM,-0.15182301172662732
Control,Vivid_Imagery,"CL2_(-4, 0)_theta",CL2,"(-4, 0)",theta,LightGBM,2.443766380730321
Control,Vivid_Imagery,"CL2_(0, 5)_alpha",CL2,"(0, 5)",alpha,LightGBM,1.6679239149817644
Control,Vivid_Imagery,"CL2_(0, 5)_beta",CL2,"(0, 5)",beta,LightGBM,-0.657369035410858
Control,Vivid_Imagery,"CL2_(0, 5)_delta",CL2,"(0, 5)",delta,LightGBM,1.2474551069357425
Control,Vivid_Imagery,"CL2_(0, 5)_lower gamma",CL2,"(0, 5)",lower gamma,LightGBM,-0.4316768571381291
Control,Vivid_Imagery,"CL2_(0, 5)_theta",CL2,"(0, 5)",theta,LightGBM,2.134513611393359
Control,Vivid_Imagery,"CL2_(5, 10)_alpha",CL2,"(5, 10)",alpha,LightGBM,0.32205280345707415
Control,Vivid_Imagery,"CL2_(5, 10)_beta",CL2,"(5, 10)",beta,LightGBM,-0.3748681263050958
Control,Vivid_Imagery,"CL2_(5, 10)_delta",CL2,"(5, 10)",delta,LightGBM,2.681522277037919
Control,Vivid_Imagery,"CL2_(5, 10)_lower gamma",CL2,"(5, 10)",lower gamma,LightGBM,0.057475920182923725
Control,Vivid_Imagery,"CL2_(5, 10)_theta",CL2,"(5, 10)",theta,LightGBM,1.2537144398600493
Control,Vivid_Imagery,"CL3_(-4, 0)_alpha",CL3,"(-4, 0)",alpha,LightGBM,0.3711594195681213
Control,Vivid_Imagery,"CL3_(-4, 0)_beta",CL3,"(-4, 0)",beta,LightGBM,7.99348261422152
Control,Vivid_Imagery,"CL3_(-4, 0)_delta",CL3,"(-4, 0)",delta,LightGBM,0.770193397446281
Control,Vivid_Imagery,"CL3_(-4, 0)_lower gamma",CL3,"(-4, 0)",lower gamma,LightGBM,1.3215044200283772
Control,Vivid_Imagery,"CL3_(-4, 0)_theta",CL3,"(-4, 0)",theta,LightGBM,0.7879854520910782
Control,Vivid_Imagery,"CL3_(0, 5)_alpha",CL3,"(0, 5)",alpha,LightGBM,1.7895315855732083
Control,Vivid_Imagery,"CL3_(0, 5)_beta",CL3,"(0, 5)",beta,LightGBM,2.013752623455005
Control,Vivid_Imagery,"CL3_(0, 5)_delta",CL3,"(0, 5)",delta,LightGBM,0.21232297987905183
Control,Vivid_Imagery,"CL3_(0, 5)_lower gamma",CL3,"(0, 5)",lower gamma,LightGBM,12.743757386119531
Control,Vivid_Imagery,"CL3_(0, 5)_theta",CL3,"(0, 5)",theta,LightGBM,1.4933749219141597
Control,Vivid_Imagery,"CL3_(5, 10)_alpha",CL3,"(5, 10)",alpha,LightGBM,0.5288512813415116
Control,Vivid_Imagery,"CL3_(5, 10)_beta",CL3,"(5, 10)",beta,LightGBM,7.3169958233634995
Control,Vivid_Imagery,"CL3_(5, 10)_delta",CL3,"(5, 10)",delta,LightGBM,0.06450706132368662
Control,Vivid_Imagery,"CL3_(5, 10)_lower gamma",CL3,"(5, 10)",lower gamma,LightGBM,15.16467889739926
Control,Vivid_Imagery,"CL3_(5, 10)_theta",CL3,"(5, 10)",theta,LightGBM,0.5782037835671925
Control,Vivid_Imagery,"CL4_(-4, 0)_alpha",CL4,"(-4, 0)",alpha,LightGBM,0.7604425059008612
Control,Vivid_Imagery,"CL4_(-4, 0)_beta",CL4,"(-4, 0)",beta,LightGBM,31.05896396375356
Control,Vivid_Imagery,"CL4_(-4, 0)_delta",CL4,"(-4, 0)",delta,LightGBM,-0.036855203417046366
Control,Vivid_Imagery,"CL4_(-4, 0)_lower gamma",CL4,"(-4, 0)",lower gamma,LightGBM,0.2810674672446929
Control,Vivid_Imagery,"CL4_(-4, 0)_theta",CL4,"(-4, 0)",theta,LightGBM,0.001265818964688821
Control,Vivid_Imagery,"CL4_(0, 5)_alpha",CL4,"(0, 5)",alpha,LightGBM,0.3708499152123741
Control,Vivid_Imagery,"CL4_(0, 5)_beta",CL4,"(0, 5)",beta,LightGBM,-0.6130855474790712
Control,Vivid_Imagery,"CL4_(0, 5)_delta",CL4,"(0, 5)",delta,LightGBM,-0.08491772859514642
Control,Vivid_Imagery,"CL4_(0, 5)_lower gamma",CL4,"(0, 5)",lower gamma,LightGBM,1.3621565257456767
Control,Vivid_Imagery,"CL4_(0, 5)_theta",CL4,"(0, 5)",theta,LightGBM,-1.3139818861588608
Control,Vivid_Imagery,"CL4_(5, 10)_alpha",CL4,"(5, 10)",alpha,LightGBM,2.20491956888511
Control,Vivid_Imagery,"CL4_(5, 10)_beta",CL4,"(5, 10)",beta,LightGBM,1.5519611018115496
Control,Vivid_Imagery,"CL4_(5, 10)_delta",CL4,"(5, 10)",delta,LightGBM,0.41069316118539034
Control,Vivid_Imagery,"CL4_(5, 10)_lower gamma",CL4,"(5, 10)",lower gamma,LightGBM,1.7938125238937843
Control,Vivid_Imagery,"CL4_(5, 10)_theta",CL4,"(5, 10)",theta,LightGBM,-1.078817513389078
Control,Vivid_Imagery,"CL5_(-4, 0)_alpha",CL5,"(-4, 0)",alpha,LightGBM,-0.49019687857166383
Control,Vivid_Imagery,"CL5_(-4, 0)_beta",CL5,"(-4, 0)",beta,LightGBM,-0.45860042621667496
Control,Vivid_Imagery,"CL5_(-4, 0)_delta",CL5,"(-4, 0)",delta,LightGBM,-0.6409490676986167
Control,Vivid_Imagery,"CL5_(-4, 0)_lower gamma",CL5,"(-4, 0)",lower gamma,LightGBM,0.1691756033024439
Control,Vivid_Imagery,"CL5_(-4, 0)_theta",CL5,"(-4, 0)",theta,LightGBM,0.10068356356685144
Control,Vivid_Imagery,"CL5_(0, 5)_alpha",CL5,"(0, 5)",alpha,LightGBM,2.360590721899902
Control,Vivid_Imagery,"CL5_(0, 5)_beta",CL5,"(0, 5)",beta,LightGBM,0.014643004386809448
Control,Vivid_Imagery,"CL5_(0, 5)_delta",CL5,"(0, 5)",delta,LightGBM,0.5233755316760142
Control,Vivid_Imagery,"CL5_(0, 5)_lower gamma",CL5,"(0, 5)",lower gamma,LightGBM,1.553011292563422
Control,Vivid_Imagery,"CL5_(0, 5)_theta",CL5,"(0, 5)",theta,LightGBM,2.3209833993175644
Control,Vivid_Imagery,"CL5_(5, 10)_alpha",CL5,"(5, 10)",alpha,LightGBM,1.5765570729899525
Control,Vivid_Imagery,"CL5_(5, 10)_beta",CL5,"(5, 10)",beta,LightGBM,-0.5415881492606867
Control,Vivid_Imagery,"CL5_(5, 10)_delta",CL5,"(5, 10)",delta,LightGBM,0.8465780646947934
Control,Vivid_Imagery,"CL5_(5, 10)_lower gamma",CL5,"(5, 10)",lower gamma,LightGBM,0.19278023324742408
Control,Vivid_Imagery,"CL5_(5, 10)_theta",CL5,"(5, 10)",theta,LightGBM,1.1080889840800818
Control,Vivid_Imagery,"CL6_(-4, 0)_alpha",CL6,"(-4, 0)",alpha,LightGBM,0.1449655803560403
Control,Vivid_Imagery,"CL6_(-4, 0)_beta",CL6,"(-4, 0)",beta,LightGBM,0.06721434579228673
Control,Vivid_Imagery,"CL6_(-4, 0)_delta",CL6,"(-4, 0)",delta,LightGBM,1.6059204180220785
Control,Vivid_Imagery,"CL6_(-4, 0)_lower gamma",CL6,"(-4, 0)",lower gamma,LightGBM,-0.549587920186738
Control,Vivid_Imagery,"CL6_(-4, 0)_theta",CL6,"(-4, 0)",theta,LightGBM,1.4209150838558282
Control,Vivid_Imagery,"CL6_(0, 5)_alpha",CL6,"(0, 5)",alpha,LightGBM,2.202875814877838
Control,Vivid_Imagery,"CL6_(0, 5)_beta",CL6,"(0, 5)",beta,LightGBM,-2.5397495475640692
Control,Vivid_Imagery,"CL6_(0, 5)_delta",CL6,"(0, 5)",delta,LightGBM,0.8109198076474862
Control,Vivid_Imagery,"CL6_(0, 5)_lower gamma",CL6,"(0, 5)",lower gamma,LightGBM,-0.36528410361048624
Control,Vivid_Imagery,"CL6_(0, 5)_theta",CL6,"(0, 5)",theta,LightGBM,0.01647777502529304
Control,Vivid_Imagery,"CL6_(5, 10)_alpha",CL6,"(5, 10)",alpha,LightGBM,2.6633053901103816
Control,Vivid_Imagery,"CL6_(5, 10)_beta",CL6,"(5, 10)",beta,LightGBM,-0.34439651400878013
Control,Vivid_Imagery,"CL6_(5, 10)_delta",CL6,"(5, 10)",delta,LightGBM,0.860322420000312
Control,Vivid_Imagery,"CL6_(5, 10)_lower gamma",CL6,"(5, 10)",lower gamma,LightGBM,0.2849638000688108
Control,Vivid_Imagery,"CL6_(5, 10)_theta",CL6,"(5, 10)",theta,LightGBM,1.1024688230255302
Haiku,Aesthetic_Appeal,"CL1_(-4, 0)_alpha",CL1,"(-4, 0)",alpha,LightGBM,18.860911756573234
Haiku,Aesthetic_Appeal,"CL1_(-4, 0)_beta",CL1,"(-4, 0)",beta,LightGBM,-11.253170607901769
Haiku,Aesthetic_Appeal,"CL1_(-4, 0)_delta",CL1,"(-4, 0)",delta,LightGBM,-0.6442852406056628
Haiku,Aesthetic_Appeal,"CL1_(-4, 0)_lower gamma",CL1,"(-4, 0)",lower gamma,LightGBM,0.0
Haiku,Aesthetic_Appeal,"CL1_(-4, 0)_theta",CL1,"(-4, 0)",theta,LightGBM,3.292666305997262
Haiku,Aesthetic_Appeal,"CL1_(0, 5)_alpha",CL1,"(0, 5)",alpha,LightGBM,3.38607404395972
Haiku,Aesthetic_Appeal,"CL1_(0, 5)_beta",CL1,"(0, 5)",beta,LightGBM,0.0
Haiku,Aesthetic_Appeal,"CL1_(0, 5)_delta",CL1,"(0, 5)",delta,LightGBM,-4.037384184201383
Haiku,Aesthetic_Appeal,"CL1_(0, 5)_lower gamma",CL1,"(0, 5)",lower gamma,LightGBM,-3.7354027943929906
Haiku,Aesthetic_Appeal,"CL1_(0, 5)_theta",CL1,"(0, 5)",theta,LightGBM,-0.9830090621766386
Haiku,Aesthetic_Appeal,"CL1_(5, 10)_alpha",CL1,"(5, 10)",alpha,LightGBM,1.3548453890121575
Haiku,Aesthetic_Appeal,"CL1_(5, 10)_beta",CL1,"(5, 10)",beta,LightGBM,0.24958453716444
Haiku,Aesthetic_Appeal,"CL1_(5, 10)_delta",CL1,"(5, 10)",delta,LightGBM,-0.5138567726817376
Haiku,Aesthetic_Appeal,"CL1_(5, 10)_lower gamma",CL1,"(5, 10)",lower gamma,LightGBM,0.1232407706894036
Haiku,Aesthetic_Appeal,"CL1_(5, 10)_theta",CL1,"(5, 10)",theta,LightGBM,-0.2568789440232056
Haiku,Aesthetic_Appeal,"CL2_(-4, 0)_alpha",CL2,"(-4, 0)",alpha,LightGBM,-6.925856574600045
Haiku,Aesthetic_Appeal,"CL2_(-4, 0)_beta",CL2,"(-4, 0)",beta,LightGBM,-2.6534292180764023
Haiku,Aesthetic_Appeal,"CL2_(-4, 0)_delta",CL2,"(-4, 0)",delta,LightGBM,0.0
Haiku,Aesthetic_Appeal,"CL2_(-4, 0)_lower gamma",CL2,"(-4, 0)",lower gamma,LightGBM,0.6925827887805391
Haiku,Aesthetic_Appeal,"CL2_(-4, 0)_theta",CL2,"(-4, 0)",theta,LightGBM,0.0
Haiku,Aesthetic_Appeal,"CL2_(0, 5)_alpha",CL2,"(0, 5)",alpha,LightGBM,10.133362283803573
Haiku,Aesthetic_Appeal,"CL2_(0, 5)_beta",CL2,"(0, 5)",beta,LightGBM,-1.6181669015955191
Haiku,Aesthetic_Appeal,"CL2_(0, 5)_delta",CL2,"(0, 5)",delta,LightGBM,-12.03815129859448
Haiku,Aesthetic_Appeal,"CL2_(0, 5)_lower gamma",CL2,"(0, 5)",lower gamma,LightGBM,-0.10196103643969143
Haiku,Aesthetic_Appeal,"CL2_(0, 5)_theta",CL2,"(0, 5)",theta,LightGBM,0.0
Haiku,Aesthetic_Appeal,"CL2_(5, 10)_alpha",CL2,"(5, 10)",alpha,LightGBM,-0.007284958430484442
Haiku,Aesthetic_Appeal,"CL2_(5, 10)_beta",CL2,"(5, 10)",beta,LightGBM,2.8911975139631916
Haiku,Aesthetic_Appeal,"CL2_(5, 10)_delta",CL2,"(5, 10)",delta,LightGBM,2.149406432025767
Haiku,Aesthetic_Appeal,"CL2_(5, 10)_lower gamma",CL2,"(5, 10)",lower gamma,LightGBM,-3.5689969505151398
Haiku,Aesthetic_Appeal,"CL2_(5, 10)_theta",CL2,"(5, 10)",theta,LightGBM,-3.416929704824388
Haiku,Aesthetic_Appeal,"CL3_(-4, 0)_alpha",CL3,"(-4, 0)",alpha,LightGBM,-9.927327210758186
